p_26001,cntrlv_42,mflowj_24001,mflowj_34001,mflowj_44001,tempf_12101,tempf_13801
0.989510303,0.982661979,1.164417304,1.064918473,1.067880093,0.811416377,0.858169294
1.004042239,1.00249876,1.156369576,1.067662022,1.073672328,0.810447537,0.861056313
1.006866211,0.999271781,1.153395137,1.073990604,1.062719893,0.802295601,0.868479659
0.999328036,1.001087483,1.163015449,1.078174102,1.07029298,0.807719386,0.858381986
0.996201203,0.996743339,1.15715621,1.067911216,1.080610789,0.810133662,0.861877854
0.999353554,0.998994147,1.148807699,1.066647203,1.072036171,0.806602845,0.858273121
1.003619347,1.002126952,1.164339367,1.077150834,1.074656928,0.817869711,0.864163281
0.993511977,0.992540404,1.162998711,1.070480285,1.064098783,0.800900233,0.859705406
0.994892036,0.996765856,1.157292766,1.065178274,1.064727086,0.800908295,0.868546574
0.994386833,1.002233339,1.166186881,1.073669635,1.072640693,0.804193292,0.86500638
0.999531593,1.000438315,1.146052008,1.075936114,1.070578412,0.809756037,0.860397559
1.000382966,0.994313955,1.159154863,1.077322227,1.063222439,0.80996616,0.861543394
0.998316831,1.000364379,1.152908346,1.071570339,1.073045741,0.813959518,0.865110512
0.997819819,1.001240016,1.152111357,1.061583073,1.071222183,0.822701899,0.859592304
1.00269121,0.987392157,1.162216822,1.071576851,1.074083172,0.806100611,0.858276536
0.999973865,1.001565707,1.170948573,1.07533936,1.079704352,0.80594135,0.858565404
0.993037696,0.997848886,1.162129785,1.069893092,1.063238907,0.802170781,0.850737899
0.999561067,1.002335013,1.163786794,1.070866163,1.070377701,0.810247927,0.866738288
0.995258322,1.008661017,1.156905507,1.065929239,1.065590184,0.797729847,0.872427062
0.998021946,1.00396798,1.163169715,1.073707672,1.059505192,0.818403264,0.868671669
0.997383962,1.001486878,1.155665293,1.071106718,1.063618619,0.805934405,0.864448752
1.003946726,0.990363591,1.152478628,1.063642776,1.069210625,0.805047464,0.853425313
0.99097864,1.003595218,1.162295642,1.072026075,1.072391715,0.811086093,0.864435814
0.998542795,1.008839644,1.155366306,1.071471026,1.076428083,0.808451031,0.858575605
1.004823986,0.993396243,1.15828,1.068060478,1.081380047,0.816890574,0.861966605
0.999775201,1.002272513,1.156601335,1.053567418,1.065423999,0.80517491,0.861338121
0.996065465,1.001397501,1.163015908,1.070896709,1.075115327,0.804778656,0.861594255
0.994487133,1.002978899,1.159782307,1.067606931,1.07393399,0.806001792,0.870056191
1.011555712,0.9997972,1.154291659,1.062745591,1.063560622,0.816440031,0.851715558
0.997287465,0.997046283,1.155459692,1.075422159,1.064303578,0.806454389,0.859465219
1.010852883,1.007746476,1.168164406,1.059017955,1.074316983,0.806427622,0.85683241
0.998146252,0.996101593,1.163267314,1.063904279,1.070223306,0.805677992,0.859580642
1.006674274,1.003531531,1.163339566,1.075731609,1.072582139,0.812369358,0.865284865
0.999686251,0.9915047,1.166742019,1.069045484,1.070191825,0.803262849,0.854559164
0.995379459,0.997254816,1.168634482,1.068988279,1.073509081,0.804709307,0.863698841
1.004425596,1.008720083,1.161715472,1.071551513,1.05902017,0.816653274,0.850250623
1.001974592,1.001168062,1.170621339,1.072027734,1.072322163,0.812579094,0.864288901
1.002874496,1.00024037,1.152814151,1.070442047,1.064896264,0.814736756,0.861663646
1.000702338,0.999510024,1.148754741,1.074569039,1.074019273,0.81527982,0.869646444
0.995702889,0.991302109,1.155760252,1.07293879,1.0655846,0.817757164,0.858849477
0.989790775,0.995546351,1.15390157,1.07121241,1.071400378,0.809605277,0.86781317
